AdSense Earnings Month,Channel ID,Revenue Source,Local Currency,Total Revenue By Source,US Sourced Revenue,Tax Withholding Rate,Tax Withheld Amount
202301,UC_gGrLaU8N2wdcxtpvU24-g,Transactions Revenue - Others,HKD,3.401384,0,30.00,0
202301,UC_hXNu0_P-8hQ9G3wWc6kGg,Ads Revenue,HKD,90.940458,0.878123,15.00,0.131718
202301,UC_hXNu0_P-8hQ9G3wWc6kGg,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.521215,0.453662,15.00,0.068049
202301,UCa1LaEiQ2QKSx9x9L8_bqRw,Ads Revenue,HKD,14.752331,0.359283,15.00,0.053892
202301,UCa1LaEiQ2QKSx9x9L8_bqRw,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.126739,0.001015,15.00,0.000152
202301,UCa602QNmKfX4tUl36yC46IQ,Ads Revenue,HKD,647.413635,10.311224,15.00,1.546684
202301,UCa602QNmKfX4tUl36yC46IQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.367335,0.222998,15.00,0.03345
202301,UCaTGShc94XXBNhd2gCzqGdA,Ads Revenue,HKD,0.427641,0,24.00,0.102634
202301,UCaTGShc94XXBNhd2gCzqGdA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.001039,0,24.00,0.000249
202301,UCabovqtjYMsRB-TNyRFZTrQ,Ads Revenue,HKD,1310.173432,14.485325,15.00,2.172799
202301,UCabovqtjYMsRB-TNyRFZTrQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.42935,0.032222,15.00,0.004833
202301,UCammIDmuOIkcPpW0BJhl8xg,Ads Revenue,HKD,8.055071,0.101792,15.00,0.015269
202301,UCammIDmuOIkcPpW0BJhl8xg,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.000594,0.000594,15.00,0.000089
202301,UCatpyaJTdu-DBL5Ac-4MVkw,Ads Revenue,HKD,11.469392,0.134067,30.00,0.04022
202301,UCatpyaJTdu-DBL5Ac-4MVkw,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.037934,0.019036,30.00,0.005711
202301,UCb6YPomNlZq7hJvYyeYlW0A,Ads Revenue,HKD,9.091818,0.027649,15.00,0.004147
202301,UCb6YPomNlZq7hJvYyeYlW0A,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.041855,0.024435,15.00,0.003665
202301,UCbAh4ChSy1wEUuN4kCXuCrQ,Ads Revenue,HKD,12.523417,0.172125,15.00,0.025819
202301,UCbAh4ChSy1wEUuN4kCXuCrQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.101141,0,15.00,0
202301,UCbB-ZFJDnWCndDepuoa9_HQ,Ads Revenue,HKD,9972.704058,2701.97826,15.00,405.296739
202301,UCbB-ZFJDnWCndDepuoa9_HQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,481.82508,155.547143,15.00,23.332071
202301,UCbZuYmTWB8XAqBD8WKDLByQ,Ads Revenue,HKD,5874.551241,245.056986,15.00,36.758548
202301,UCbZuYmTWB8XAqBD8WKDLByQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,7.130671,1.009267,15.00,0.15139
202301,UCbhuwio0qW5JFdYHCxzNatQ,Ads Revenue,HKD,531.704606,5.232512,15.00,0.784877
202301,UCbhuwio0qW5JFdYHCxzNatQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.333265,0.145807,15.00,0.021871
202301,UCblhUewZfxTqVVXOMyxaSVQ,Ads Revenue,HKD,142.722471,10.826045,15.00,1.623907
202301,UCblhUewZfxTqVVXOMyxaSVQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.097687,0.020969,15.00,0.003145
202301,UCbzDDfmyoyo9tKb9yhDA7hA,Ads Revenue,HKD,61.971419,1.632343,15.00,0.244851
202301,UCbzDDfmyoyo9tKb9yhDA7hA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.445409,0.231922,15.00,0.034788
202301,UCcAnjE2yZPNShbO9bpUXfmA,Ads Revenue,HKD,447.31402,4.55874,15.00,0.683811
202301,UCcAnjE2yZPNShbO9bpUXfmA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.67668,0.278042,15.00,0.041706
202301,UCcGaE7wBf-fqQ1ydY_wNdiw,Ads Revenue,HKD,630.993016,5.348916,15.00,0.802337
202301,UCcGaE7wBf-fqQ1ydY_wNdiw,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,1.183818,0.426746,15.00,0.064012
202301,UCcH-Q-vgyZWwTLs3q3-_N5g,Ads Revenue,HKD,1707.97659,11.768616,15.00,1.765292
202301,UCcH-Q-vgyZWwTLs3q3-_N5g,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,1.36169,0.885103,15.00,0.132765
202301,UCcOeaTBduOa_Plbm7Q1vxKA,Ads Revenue,HKD,166.053604,1.890538,15.00,0.283581
202301,UCcOeaTBduOa_Plbm7Q1vxKA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.015785,0.006716,15.00,0.001007
202301,UCcszvjeBkOb3kZK8_8KU7_Q,Ads Revenue,HKD,129.564253,3.099178,15.00,0.464877
202301,UCcszvjeBkOb3kZK8_8KU7_Q,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.067555,0.040388,15.00,0.006058
202301,UCczi8U0VTB8BI8uhqZS3I8A,Ads Revenue,HKD,288.721807,8.87946,30.00,2.663838
202301,UCczi8U0VTB8BI8uhqZS3I8A,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.692863,0.006143,30.00,0.001843
202301,UCdVMAhpMiLsVLo-BU_6voUQ,Ads Revenue,HKD,16.605088,0.18857,15.00,0.028285
202301,UCdVMAhpMiLsVLo-BU_6voUQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.005815,0,15.00,0
202301,UCdbqaI60YaCYHXDSeqAOANg,Ads Revenue,HKD,150.73131,2.140985,15.00,0.321148
202301,UCdbqaI60YaCYHXDSeqAOANg,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.152009,0.115643,15.00,0.017346
202301,UCdfmLFAo95GcJYvdgry1nsA,Ads Revenue,HKD,262.707206,2.113738,15.00,0.317061
202301,UCdfmLFAo95GcJYvdgry1nsA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.49435,0.321018,15.00,0.048153
202301,UCdxOdehCAIaZWIayLZs4KEQ,Ads Revenue,HKD,3201.173765,35.116468,15.00,5.26747
202301,UCdxOdehCAIaZWIayLZs4KEQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,3.255526,2.278194,15.00,0.341729
202301,UCe4f0GMYe_xR5CEb0Lod4XQ,Ads Revenue,HKD,26.964521,0.5141,30.00,0.15423
202301,UCe4f0GMYe_xR5CEb0Lod4XQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.108762,0,30.00,0
202301,UCe8n4USKO6RzAwMGqtP7WRQ,Ads Revenue,HKD,176.299281,15.512239,24.00,42.311827
202301,UCe8n4USKO6RzAwMGqtP7WRQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,2.472098,1.323878,24.00,0.593304
202301,UCeCXAvAkJalzhyfPIun60Jg,Ads Revenue,HKD,1193.183521,19.816002,15.00,2.9724
202301,UCeCXAvAkJalzhyfPIun60Jg,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,1.471825,0.170994,15.00,0.025649
202301,UCeTNIT0h8hOMqjaSuEhgOoQ,Ads Revenue,HKD,193.538291,2.190825,24.00,46.44919
202301,UCeTNIT0h8hOMqjaSuEhgOoQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.465533,0.187812,24.00,0.111728
202301,UCee5POOPTFNN7ap4GL5RBJQ,Ads Revenue,HKD,1987.235746,19.710676,15.00,2.956601
202301,UCee5POOPTFNN7ap4GL5RBJQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,1.186197,0.685036,15.00,0.102755
202301,UCehPMjDDJ2tuQ7a797giOTQ,Ads Revenue,HKD,793.490697,33.819304,15.00,5.072896
202301,UCehPMjDDJ2tuQ7a797giOTQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,7.441398,2.162457,15.00,0.324369
202301,UCeoA6-TrXwaWojvb0YAVP5A,Ads Revenue,HKD,159.724112,2.932617,15.00,0.439893
202301,UCeoA6-TrXwaWojvb0YAVP5A,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.100597,0.053043,15.00,0.007956
202301,UCeoV70boI-aFB9F2-GHt7vA,Ads Revenue,HKD,159.598582,2.388231,15.00,0.358235
202301,UCeoV70boI-aFB9F2-GHt7vA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.23789,0.029053,15.00,0.004358
202301,UCf8fL2jAxAG-QfXiqf6Mkdg,Ads Revenue,HKD,11301.293155,2069.075534,15.00,310.36133
202301,UCf8fL2jAxAG-QfXiqf6Mkdg,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,149.32565,69.444914,15.00,10.416737
202301,UCf8fL2jAxAG-QfXiqf6Mkdg,Super Thanks,HKD,5.668657,0,15.00,0
202301,UCfMLh_bKic6A7XkEMz1qX1Q,Ads Revenue,HKD,13.597772,0.234102,15.00,0.035115
202301,UCfMLh_bKic6A7XkEMz1qX1Q,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.014295,0.003784,15.00,0.000568
202301,UCfRDi67zOqZoChfLMkVbLqg,Ads Revenue,HKD,414.625579,5.352339,15.00,0.802851
202301,UCfRDi67zOqZoChfLMkVbLqg,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.192806,0.007795,15.00,0.001169
202301,UCfYq5PUqnrV9nDQtR0om5Bw,Ads Revenue,HKD,53.807833,4.085453,15.00,0.612818
202301,UCfYq5PUqnrV9nDQtR0om5Bw,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.035114,0.000242,15.00,0.000036
202301,UCf_yAUxdFxl2cqMdg8mqHog,Ads Revenue,HKD,19664.11191,910.56451,15.00,136.584677
202301,UCf_yAUxdFxl2cqMdg8mqHog,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,85.547786,21.257847,15.00,3.188677
202301,UCfaaafkwaLZZIQ_OHRj_obQ,Ads Revenue,HKD,3005.341975,58.960691,15.00,8.844104
202301,UCfaaafkwaLZZIQ_OHRj_obQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,2.241282,1.212212,15.00,0.181832
202301,UCfaaafkwaLZZIQ_OHRj_obQ,YouTube Shorts Revenue,HKD,577.577989,4.013511,15.00,0.602027
202301,UCfcr9mXTjLei9F_2NHy82yA,Ads Revenue,HKD,4212.645748,34.799434,15.00,5.219915
202301,UCfcr9mXTjLei9F_2NHy82yA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,3.451645,1.168818,15.00,0.175323
202301,UCg-fRD-0_gb15BXoQZ_Ft9Q,Ads Revenue,HKD,3.07806,0,24.00,0.738734
202301,UCg-fRD-0_gb15BXoQZ_Ft9Q,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.001765,0,24.00,0.000424
202301,UCgGT3LtolxtROKsgL8e0OoQ,Ads Revenue,HKD,27.085638,0.189993,15.00,0.028499
202301,UCgGT3LtolxtROKsgL8e0OoQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.013098,0.006651,15.00,0.000998
202301,UCgRY4eDirFoOY8bmicwKLyQ,Ads Revenue,HKD,716.152582,15.979505,15.00,2.396926
202301,UCgRY4eDirFoOY8bmicwKLyQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.175649,0.072216,15.00,0.010832
202301,UCgUb_sBp2jQbYc2oO1hAdSA,Ads Revenue,HKD,181.309696,2.46387,24.00,43.514327
202301,UCgUb_sBp2jQbYc2oO1hAdSA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.24092,0.122366,24.00,0.057821
202301,UCgiJUPa6F17-vWMVJczy-Gw,Ads Revenue,HKD,6384.492735,102.440195,15.00,15.366029
202301,UCgiJUPa6F17-vWMVJczy-Gw,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,5.078649,3.869222,15.00,0.580383
202301,UCgpyA2pvziwCR-l9KucaUGA,Ads Revenue,HKD,1796.15934,205.672526,15.00,30.850879
202301,UCgpyA2pvziwCR-l9KucaUGA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.387394,0.105106,15.00,0.015766
202301,UCh0GPOWRyauQXSP1w-izY7g,Ads Revenue,HKD,9.746644,0,24.00,2.339195
202301,UCh0GPOWRyauQXSP1w-izY7g,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.144684,0.001711,24.00,0.034724
202301,UChSlf-y2w5HiXTCChgjM1DA,Ads Revenue,HKD,1267.671066,12.896559,15.00,1.934484
202301,UChSlf-y2w5HiXTCChgjM1DA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,1.944129,1.063427,15.00,0.159514
202301,UChZNAZv_n6Y7LSOT8YZuVtQ,Ads Revenue,HKD,109.203328,2.709938,15.00,0.406491
202301,UChZNAZv_n6Y7LSOT8YZuVtQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.416644,0.151843,15.00,0.022776
